1,10 
2,25 
3,40 
4,55 
5,70 
6,75 
7,80 
8,90 
9,95 
10,105 
11,115 
12,130 
13,145 
14,160 
15,175 
16,185 
17,200 
18,215 
19,230 
20,385 
21,425 
22,480 
23,535 
24,580 
25,635 
26,785 
27,845 
28,895 
29,925 
30,975 
31,1010 
32,1095 
33,1165 
34,1250 
35,1335 
36,1425 
37,1545 
38,1625 
39,1685 
40,1735 
41,1800 
42,1975 
43,2165 
44,2370 
45,2585 
46,2815 
47,3065 
48,3340 
49,3645 
50,3985 
51,4365 
52,4790 
53,5265 
54,5795 
55,6385 
56,7040 
57,7765 
58,8565 
59,9445 
60,10410 
61,11465 
62,12615 
63,13865 
64,15220 
65,16685 
66,18265 
67,19965 
68,21790 
69,23745 
70,25700 
71,27655 
72,29610 
73,31565 
74,33520 
75,35475 
76,37430 
77,39385 
78,39385 
79,39385 
80,39385 
81,39385 
82,39385 
83,39385 
84,43295 
85,52265 
86,69200 
87,84420 
88,102990 
89,125645 
