1,8 
2,10 
3,15 
4,21 
5,28 
6,36 
7,45 
8,55 
9,66 
10,79 
11,93 
12,108 
13,124 
14,141 
15,159 
16,178 
17,198 
18,219 
19,241 
20,265 
21,288 
22,312 
23,337 
24,363 
25,390 
26,418 
27,447 
28,477 
29,508 
30,581 
31,658 
32,734 
33,814 
34,897 
35,982 
36,1069 
37,1159 
38,1251 
39,1346 
40,1443 
41,1543 
42,1645 
43,1750 
44,1857 
45,1966 
46,2078 
47,2192 
48,2309 
49,2428 
50,2550 
51,2674 
52,2800 
53,2929 
54,3060 
55,3194 
56,3330 
57,3469 
58,3610 
59,3754 
60,3900 
61,4048 
62,4199 
63,4352 
64,4508 
65,4666 
66,4831 
67,5007 
68,5186 
69,5369 
70,5556 
71,5747 
72,5942 
73,6141 
74,6344 
75,6552 
76,6768 
77,6989 
78,7216 
79,7449 
80,7682 
81,7915 
82,8148 
83,8381 
84,8883 
85,9460 
86,10614 
87,12922 
88,17538 
89,26770 
