11001,평범한 롱소드,장검,1,0,10,0,1,-,-,-,-,-
11002,평범한 롱소드+1,장검,1,0,23(+13),0,5,20025x1,-,-,-,200
11003,예리한 레이피어,장검,1,0,84(+61),0,10,20001x5,20011x2,-,-,1000
11004,예리한 레이피어+1,장검,1,0,98(+14),0,12,20025x1,-,-,-,1000
11005,예리한 레이피어+2,장검,1,0,112(+14),0,15,20025x2,-,-,-,1000
11006,용병의 클레이모어,장검,2,0,174(+62),0,20,20001x10,20011x3,-,-,5000
11007,용병의 클레이모어+1,장검,2,0,188(+14),0,21,20025x1,-,-,-,3000
11008,용병의 클레이모어+2,장검,2,0,202(+14),0,23,20025x2,-,-,-,3000
11009,용병의 클레이모어+3,장검,2,0,216(+14),0,25,20025x3,-,-,-,3000
11010,신성한 노르딕 소드,장검,2,0,280(+64),0,30,20002x10,20012x8,-,-,10000
11011,신성한 노르딕 소드+1,장검,2,0,296(+16),0,31,20026x4,-,-,-,5000
11012,신성한 노르딕 소드+2,장검,2,0,311(+15),0,32,20026x6,-,-,-,5000
11013,신성한 노르딕 소드+3,장검,2,0,326(+15),0,33,20026x8,-,-,-,5000
11014,신성한 노르딕 소드+4,장검,2,0,342(+16),0,35,20026x10,-,-,-,5000
11015,용살자의 몬테뉴,장검,3,0,406(+64),0,40,20002x20,20012x12,20030x1,-,30000
11016,용살자의 몬테뉴+1,장검,3,0,422(+16),0,42,20026x6,-,-,-,10000
11017,용살자의 몬테뉴+2,장검,3,0,438(+16),0,44,20026x8,-,-,-,10000
11018,용살자의 몬테뉴+3,장검,3,0,455(+17),0,46,20026x10,-,-,-,10000
11019,용살자의 몬테뉴+4,장검,3,0,472(+17),0,48,20026x12,-,-,-,10000
11020,마검 혈월화,장검,3,0,536(+64),0,50,20003x20,20013x16,20030x3,-,50000
11021,마검 혈월화+1,장검,3,0,553(+17),0,52,20027x10,-,-,-,20000
11022,마검 혈월화+2,장검,3,0,570(+17),0,54,20027x12,-,-,-,20000
11023,마검 혈월화+3,장검,3,0,588(+18),0,56,20027x14,-,-,-,20000
11024,마검 혈월화+4,장검,3,0,606(+18),0,58,20027x16,-,-,-,20000
11025,트래지디 브링어,장검,4,0,672(+64),0,60,20003x40,20013x24,20031x6,-,100000
11026,트래지디 브링어+1,장검,4,0,690(+18),0,62,20027x14,-,-,-,50000
11027,트래지디 브링어+2,장검,4,0,708(+18),0,64,20027x16,-,-,-,50000
11028,트래지디 브링어+3,장검,4,0,727(+19),0,66,20027x18,-,-,-,50000
11029,트래지디 브링어+4,장검,4,0,746(+19),0,68,20027x20,-,-,-,50000
11030,연옥의 플랑베르쥬,장검,4,0,828(+84),0,70,20004x40,20014x30,20031x12,-,200000
11031,연옥의 플랑베르쥬+1,장검,4,0,850(+22),0,70,20028x18,-,-,-,50000
11032,연옥의 플랑베르쥬+2,장검,4,0,873(+23),0,70,20028x20,-,-,-,50000
11033,연옥의 플랑베르쥬+3,장검,4,0,896(+23),0,70,20028x22,-,-,-,50000
11034,연옥의 플랑베르쥬+4,장검,4,0,920(+24),0,70,20028x24,-,-,-,50000
11035,묵시록의 서막,장검,5,0,1070(+150),0,80,20004x60,20014x60,20032x10,-,400000
11036,묵시록의 서막+1,장검,5,0,1110(+40),0,80,20028x22,-,-,-,100000
11037,묵시록의 서막+2,장검,5,0,1150(+40),0,80,20028x24,-,-,-,100000
11038,묵시록의 서막+3,장검,5,0,1190(+40),0,80,20028x26,-,-,-,100000
11039,묵시록의 서막+4,장검,5,0,1230(+40),0,80,20028x28,-,-,-,100000
11040,은빛 서광,장검,5,0,1445(+215),0,90,20005x80,20015x90,20033x20,-,600000
11041,은빛 서광+1,장검,5,0,1509(+64),0,90,20029x26,-,-,-,100000
11042,은빛 서광+2,장검,5,0,1573(+64),0,90,20029x28,-,-,-,100000
11043,은빛 서광+3,장검,5,0,1637(+64),0,90,20029x30,-,-,-,100000
11044,은빛 서광+4,장검,5,0,1701(+64),0,90,20029x32,-,-,-,100000
12001,조잡한 나무 활,활,1,0,10,0,1,-,-,-,-,-
12002,조잡한 나무 활+1,활,1,0,23(+13),0,5,20025x1,-,-,-,200
12003,튼튼한 페더 보우,활,1,0,103(+80),0,10,20006x3,20001x2,20011x2,-,1000
12004,튼튼한 페더 보우+1,활,1,0,120(+17),0,12,20025x1,-,-,-,1000
12005,튼튼한 페더 보우+2,활,1,0,137(+17),0,15,20025x2,-,-,-,1000
12006,사냥꾼의 컴포지트 보우,활,2,0,184(+67),0,20,20006x5,20001x5,20011x3,-,5000
12007,사냥꾼의 컴포지트 보우+1,활,2,0,199(+15),0,21,20025x1,-,-,-,3000
12008,사냥꾼의 컴포지트 보우+2,활,2,0,214(+15),0,23,20025x2,-,-,-,3000
12009,사냥꾼의 컴포지트 보우+3,활,2,0,230(+16),0,25,20025x3,-,-,-,3000
12010,축성받은 아룬드 보우,활,2,0,297(+67),0,30,20007x5,20002x5,20012x8,-,10000
12011,축성받은 아룬드 보우+1,활,2,0,313(+16),0,31,20026x4,-,-,-,5000
12012,축성받은 아룬드 보우+2,활,2,0,329(+16),0,32,20026x6,-,-,-,5000
12013,축성받은 아룬드 보우+3,활,2,0,345(+16),0,33,20026x8,-,-,-,5000
12014,축성받은 아룬드 보우+4,활,2,0,361(+16),0,35,20026x10,-,-,-,5000
12015,눈을 꿰뚫는 메투스,활,3,0,430(+69),0,40,20007x10,20002x10,20012x12,20030x1,30000
12016,눈을 꿰뚫는 메투스+1,활,3,0,447(+17),0,42,20026x6,-,-,-,10000
12017,눈을 꿰뚫는 메투스+2,활,3,0,464(+17),0,44,20026x8,-,-,-,10000
12018,눈을 꿰뚫는 메투스+3,활,3,0,482(+18),0,46,20026x10,-,-,-,10000
12019,눈을 꿰뚫는 메투스+4,활,3,0,500(+18),0,48,20026x12,-,-,-,10000
12020,혈사조의 깃,활,3,0,569(+69),0,50,20008x10,20003x10,20013x16,20030x3,50000
12021,혈사조의 깃+1,활,3,0,587(+18),0,52,20027x10,-,-,-,20000
12022,혈사조의 깃+2,활,3,0,605(+18),0,54,20027x12,-,-,-,20000
12023,혈사조의 깃+3,활,3,0,624(+19),0,56,20027x14,-,-,-,20000
