11001,평범한 롱소드,장검,1,0,10,0,1,-,-,-,-,0
11002,평범한 롱소드+1,장검,1,0,23(+13),0,5,20026x1,-,-,-,200
11003,예리한 레이피어,장검,1,0,84(+61),0,10,20001x5,20011x2,-,-,1000
11004,예리한 레이피어+1,장검,1,0,98(+14),0,12,20026x1,-,-,-,1000
11005,예리한 레이피어+2,장검,1,0,112(+14),0,15,20026x2,-,-,-,1000
11006,용병의 클레이모어,장검,2,0,174(+62),0,20,20001x10,20011x3,-,-,5000
11007,용병의 클레이모어+1,장검,2,0,188(+14),0,21,20026x1,-,-,-,3000
11008,용병의 클레이모어+2,장검,2,0,202(+14),0,23,20026x2,-,-,-,3000
11009,용병의 클레이모어+3,장검,2,0,216(+14),0,25,20026x3,-,-,-,3000
11010,신성한 노르딕 소드,장검,2,0,280(+64),0,30,20002x10,20012x8,-,-,10000
11011,신성한 노르딕 소드+1,장검,2,0,296(+16),0,31,20027x4,-,-,-,5000
11012,신성한 노르딕 소드+2,장검,2,0,311(+15),0,32,20027x6,-,-,-,5000
11013,신성한 노르딕 소드+3,장검,2,0,326(+15),0,33,20027x8,-,-,-,5000
11014,신성한 노르딕 소드+4,장검,2,0,342(+16),0,35,20027x10,-,-,-,5000
11015,용살자의 몬테뉴,장검,3,0,406(+64),0,40,20002x20,20012x12,20031x1,-,30000
11016,용살자의 몬테뉴+1,장검,3,0,422(+16),0,42,20027x6,-,-,-,10000
11017,용살자의 몬테뉴+2,장검,3,0,438(+16),0,44,20027x8,-,-,-,10000
11018,용살자의 몬테뉴+3,장검,3,0,455(+17),0,46,20027x10,-,-,-,10000
11019,용살자의 몬테뉴+4,장검,3,0,472(+17),0,48,20027x12,-,-,-,10000
11020,마검 혈월화,장검,3,0,536(+64),0,50,20003x20,20013x16,20031x3,-,50000
11021,마검 혈월화+1,장검,3,0,553(+17),0,52,20028x10,-,-,-,20000
11022,마검 혈월화+2,장검,3,0,570(+17),0,54,20028x12,-,-,-,20000
11023,마검 혈월화+3,장검,3,0,588(+18),0,56,20028x14,-,-,-,20000
11024,마검 혈월화+4,장검,3,0,606(+18),0,58,20028x16,-,-,-,20000
