10001,하급 성장의 비약,1
10002,중급 성장의 비약,1
10003,상급 성장의 비약,1
10004,최상급 성장의 비약,1
20001,적철석,2
20002,강철,2
20003,미스릴,2
20004,오리할콘,2
20005,아다만티움,2
20006,나뭇가지,2
20007,호두나무,2
20008,흑단나무,2
20009,벽조목,2
20010,세계수의 가지,2
20011,자수정,2
20012,토파즈,2
20013,사파이어,2
20014,다이아몬드,2
20015,별가루,2
20016,짐승의 뼈,2
20017,악마해골,2
20018,성인의 유골,2
20019,용의 뼈,2
20020,신의 유해,2
20021,짐승의 가죽,2
20022,무명천,2
20023,아라크네원단,2
20024,와이번가죽,2
20025,용의 비늘,2
20026,성혈,2
20027,용혈,2
20028,진조의 피,2
20029,마신의 피,2
20030,신의 피,2
20031,펜리르의 송곳니,2
20032,유니콘의 뿔,2
20033,그리폰의 깃털,2
20034,천사의 날개,2
